,COD,Agente,Categoria do Agente,Tipo de Processo,Data de Aniversario,Status Resultado,link
20,388,CAIUÁ,Concessionária de Distribuição,Reajuste,10/05/2013,Definitivo,
21,31,CEA,Concessionária de Distribuição,Reajuste,13/12/2021,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CEA_2021.xlsx
22,31,CEA,Concessionária de Distribuição,Reajuste,30/11/2020,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA Novo Contrato- RTA CEA 2020 - nov 26 - final.xlsx
23,31,CEA,Concessionária de Distribuição,Reajuste,30/11/2019,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_RTA 2019_ CEA.xlsx
24,31,CEA,Concessionária de Distribuição,Reajuste,30/11/2018,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CEA_2018.xlsx
25,31,CEA,Concessionária de Distribuição,Revisão,30/11/2017,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CEA_2017 .xlsx
26,31,CEA,Concessionária de Distribuição,Ajuste EER ANGRA III,01/04/2017,Definitivo,
27,31,CEA,Concessionária de Distribuição,Reajuste,30/11/2016,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CEA_2016.xlsx
28,31,CEA,Concessionária de Distribuição,Reajuste,30/11/2015,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CEA_2015.xlsx
29,31,CEA,Concessionária de Distribuição,Reajuste,30/11/2014,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CEA_2014.xlsx
30,31,CEA,Concessionária de Distribuição,Reajuste,30/11/2013,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA _CEA_2013.xlsx
31,31,CEA,Concessionária de Distribuição,Revisão Extraordinária,24/01/2013,Definitivo,
32,105,CEB,Concessionária de Distribuição,Revisão,22/10/2021,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA Novo Contrato - NDB 21-final.xlsx
33,5160,CEBDIS,Concessionária de Distribuição,Reajuste,22/10/2020,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA - CEB 2020 - aba apresentacao1.xlsx
34,5160,CEBDIS,Concessionária de Distribuição,Reajuste,22/10/2019,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CEB_2019.xlsx
35,5160,CEBDIS,Concessionária de Distribuição,Reajuste,22/10/2018,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CEB_2018.xlsx
36,5160,CEBDIS,Concessionária de Distribuição,Revisão Extraordinária,22/06/2018,Definitivo,
37,5160,CEBDIS,Concessionária de Distribuição,Reajuste,22/10/2017,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CEB_2017 .xlsx
38,5160,CEBDIS,Concessionária de Distribuição,Ajuste EER ANGRA III,01/04/2017,Definitivo,
39,5160,CEBDIS,Concessionária de Distribuição,Revisão,22/10/2016,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_2016_CEB.xlsx
40,5160,CEBDIS,Concessionária de Distribuição,Revisão,08/04/2016,Provisório,
41,5160,CEBDIS,Concessionária de Distribuição,Reajuste,26/08/2015,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CEB _2015 .xlsx
42,5160,CEBDIS,Concessionária de Distribuição,Liminar abrace,03/07/2015,Definitivo,
43,5160,CEBDIS,Concessionária de Distribuição,Revisão Extraordinária,02/03/2015,Definitivo,
44,5160,CEBDIS,Concessionária de Distribuição,Reajuste,20/08/2014,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CEB_2014.xlsx
45,5160,CEBDIS,Concessionária de Distribuição,Reajuste,26/08/2013,Definitivo,
46,5160,CEBDIS,Concessionária de Distribuição,Revisão Extraordinária,24/01/2013,Definitivo,
47,5160,CEBDIS,Concessionária de Distribuição,Revisão Extraordinária,24/01/2013,Provisório,
48,5707,CEEE-D,Concessionária de Distribuição,Revisão,22/11/2021,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA RTP CEEE pós CP v4.xlsm
49,5707,CEEE-D,Concessionária de Distribuição,Reajuste,22/11/2020,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA Novo Contrato CEEE 2020 v5.xlsx
50,5707,CEEE-D,Concessionária de Distribuição,Reajuste,22/11/2019,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA RTA CEEE 2019.xlsx
51,5707,CEEE-D,Concessionária de Distribuição,Reajuste,22/11/2018,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA Novo Contrato - RTA CEEE 2018 - Final.xlsx
52,5707,CEEE-D,Concessionária de Distribuição,Reajuste,22/11/2017,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CEEE-D_2017.xlsx
53,5707,CEEE-D,Concessionária de Distribuição,Ajuste EER ANGRA III,01/04/2017,Definitivo,
54,5707,CEEE-D,Concessionária de Distribuição,Revisão,25/10/2016,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CEEE_2016.xlsx
55,5707,CEEE-D,Concessionária de Distribuição,Revisão,08/04/2016,Provisório,
56,5707,CEEE-D,Concessionária de Distribuição,Reajuste,25/10/2015,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CEEE_D_2015.xlsm
57,5707,CEEE-D,Concessionária de Distribuição,Liminar abrace,03/07/2015,Definitivo,
58,5707,CEEE-D,Concessionária de Distribuição,Revisão Extraordinária,02/03/2015,Definitivo,
59,5707,CEEE-D,Concessionária de Distribuição,Reajuste,25/10/2014,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CEEE_2014.xlsx
60,5707,CEEE-D,Concessionária de Distribuição,Reajuste,25/10/2013,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CEEE_2013.xlsx
61,5707,CEEE-D,Concessionária de Distribuição,Revisão Extraordinária,24/01/2013,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CEEE_2013.xlsm
62,395,CELESC,Concessionária de Distribuição,Revisão,22/08/2021,Definitivo,
63,395,CELESC,Concessionária de Distribuição,Revisão,12/07/2021,Definitivo,
64,5697,CELESC-DIS,Concessionária de Distribuição,Reajuste,22/08/2022,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CELESC_RTA 2022.xlsx
65,5697,CELESC-DIS,Concessionária de Distribuição,Revisão,22/08/2021,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA RTP 2021 Celesc_D.xlsx
66,5697,CELESC-DIS,Concessionária de Distribuição,Reajuste,22/08/2020,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA Celesc v6 Covid 100.xlsm
67,5697,CELESC-DIS,Concessionária de Distribuição,Reajuste,22/08/2019,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CELESC 2019.xlsm
68,5697,CELESC-DIS,Concessionária de Distribuição,Reajuste,22/08/2018,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CELESC_2018 .xlsx
69,5697,CELESC-DIS,Concessionária de Distribuição,Reajuste,22/08/2017,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CELESC_2017.xlsx
70,5697,CELESC-DIS,Concessionária de Distribuição,Ajuste EER ANGRA III,01/04/2017,Definitivo,
71,5697,CELESC-DIS,Concessionária de Distribuição,Revisão,22/08/2016,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CELESC_2016.xlsx
72,5697,CELESC-DIS,Concessionária de Distribuição,Revisão,08/04/2016,Provisório,
73,5697,CELESC-DIS,Concessionária de Distribuição,Reajuste,07/08/2015,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CELESC_2015_2.xlsx
74,5697,CELESC-DIS,Concessionária de Distribuição,Liminar abrace,03/07/2015,Definitivo,
75,5697,CELESC-DIS,Concessionária de Distribuição,Revisão Extraordinária,02/03/2015,Definitivo,
76,5697,CELESC-DIS,Concessionária de Distribuição,Reajuste,07/08/2014,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CELESC_2014.xlsx
77,5697,CELESC-DIS,Concessionária de Distribuição,Revisão Extraordinária,24/01/2013,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CELESC_2013.xlsx
78,6072,CELG-D,Concessionária de Distribuição,Reajuste,22/10/2021,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA _RTA 2021_ENEL GO.xlsx
79,6072,CELG-D,Concessionária de Distribuição,Reajuste,22/10/2020,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA Novo Contrato- RTA 2020 ENEL GO.xlsx
80,6072,CELG-D,Concessionária de Distribuição,Reajuste,22/10/2019,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_RTA 2019_ ENEL GO.xlsx
81,6072,CELG-D,Concessionária de Distribuição,Revisão,22/10/2018,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_ ENEL-GO_2018 .xlsx
82,6072,CELG-D,Concessionária de Distribuição,Reajuste,22/10/2017,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA _CELG_2017 .xlsx
83,6072,CELG-D,Concessionária de Distribuição,Ajuste EER ANGRA III,01/04/2017,Definitivo,
84,6072,CELG-D,Concessionária de Distribuição,Reajuste,22/10/2016,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_Celg-D_20161.xlsx
85,6072,CELG-D,Concessionária de Distribuição,Reajuste,08/04/2016,Provisório,
86,6072,CELG-D,Concessionária de Distribuição,Reajuste,12/09/2015,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA _CELG_2015.xlsx
87,6072,CELG-D,Concessionária de Distribuição,Liminar abrace,03/07/2015,Definitivo,
88,6072,CELG-D,Concessionária de Distribuição,Revisão Extraordinária,02/03/2015,Definitivo,
89,6072,CELG-D,Concessionária de Distribuição,Reajuste,05/09/2014,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CELG_2014.xlsx
90,6072,CELG-D,Concessionária de Distribuição,Revisão,12/09/2013,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CELG1.xlsx
91,6072,CELG-D,Concessionária de Distribuição,Revisão Extraordinária,24/01/2013,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CELG.xlsx
92,43,CELPE,Concessionária de Distribuição,Revisão Extraordinária,13/07/2022,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA Neoenergia Pernambuco RTE 2022.xlsx
93,43,CELPE,Concessionária de Distribuição,Reajuste,29/04/2022,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CELPE_2022.xlsx
94,43,CELPE,Concessionária de Distribuição,Revisão,29/04/2021,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA CA Revisão 2021 Celpe final.xlsx
95,43,CELPE,Concessionária de Distribuição,Reajuste,29/04/2020,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CELPE_2020.xlsm
96,43,CELPE,Concessionária de Distribuição,Reajuste,22/04/2019,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_ CELPE_2019.xlsx
97,43,CELPE,Concessionária de Distribuição,Reajuste,29/04/2018,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CELPE_2018.xlsx
98,43,CELPE,Concessionária de Distribuição,Revisão,29/04/2017,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_Celpe_2017.xlsx
99,43,CELPE,Concessionária de Distribuição,Ajuste EER ANGRA III,01/04/2017,Definitivo,
100,43,CELPE,Concessionária de Distribuição,Reajuste,29/04/2016,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CELPE_2016.xlsx
101,43,CELPE,Concessionária de Distribuição,Liminar abrace,03/07/2015,Definitivo,
102,43,CELPE,Concessionária de Distribuição,Reajuste,29/04/2015,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_RTA_CELPE_2015.xlsx
103,43,CELPE,Concessionária de Distribuição,Revisão Extraordinária,02/03/2015,Definitivo,
104,43,CELPE,Concessionária de Distribuição,Reajuste,29/04/2014,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CELPE_2014.xlsx
105,43,CELPE,Concessionária de Distribuição,Revisão,29/04/2013,Definitivo,
106,43,CELPE,Concessionária de Distribuição,Revisão Extraordinária,24/01/2013,Definitivo,
107,4950,CEMIG-D,Concessionária de Distribuição,Reajuste,22/06/2022,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_Cemig-D_2022.xlsx
108,4950,CEMIG-D,Concessionária de Distribuição,Reajuste,29/05/2021,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_RTA 2021 - CEMIG1.xlsx
109,4950,CEMIG-D,Concessionária de Distribuição,Reajuste,19/08/2020,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_RTA 2020 - CEMIG - Pós Recurso.xlsx
110,4950,CEMIG-D,Concessionária de Distribuição,Reajuste,28/05/2020,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_RTA 2020 - CEMIG.xlsm
111,4950,CEMIG-D,Concessionária de Distribuição,Reajuste,28/05/2019,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA CEMIG RTA 2019 final.xlsx
112,4950,CEMIG-D,Concessionária de Distribuição,Revisão,28/05/2018,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CEMIG_2018.xlsx
113,4950,CEMIG-D,Concessionária de Distribuição,Reajuste,28/05/2017,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CEMIG_2017.xlsx
114,4950,CEMIG-D,Concessionária de Distribuição,Ajuste EER ANGRA III,01/04/2017,Definitivo,
115,4950,CEMIG-D,Concessionária de Distribuição,Reajuste,28/05/2016,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CEMIG_2016.xlsx
116,4950,CEMIG-D,Concessionária de Distribuição,Reajuste,08/04/2016,Provisório,
117,4950,CEMIG-D,Concessionária de Distribuição,Liminar abrace,03/07/2015,Definitivo,
118,4950,CEMIG-D,Concessionária de Distribuição,Liminar abrace,03/07/2015,Definitivo,
119,4950,CEMIG-D,Concessionária de Distribuição,Reajuste,08/04/2015,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA _CEMIG.xlsx
120,4950,CEMIG-D,Concessionária de Distribuição,Revisão Extraordinária,02/03/2015,Definitivo,
121,4950,CEMIG-D,Concessionária de Distribuição,Reajuste,08/04/2014,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CEMIG_2014.xlsx
122,4950,CEMIG-D,Concessionária de Distribuição,Revisão,08/04/2013,Definitivo,
123,4950,CEMIG-D,Concessionária de Distribuição,Revisão Extraordinária,24/01/2013,Definitivo,
124,369,CERON,Concessionária de Distribuição,Reajuste,13/12/2021,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_RTA 2021_ ERO.xlsx
125,369,CERON,Concessionária de Distribuição,Revisão Extraordinária,13/12/2020,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_RTE 2020 - CERON (V. Final Processo).xlsx
126,369,CERON,Concessionária de Distribuição,Reajuste,13/12/2019,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA RTA 2019 CERON - Final.xlsx
127,369,CERON,Concessionária de Distribuição,Revisão Extraordinária,01/04/2019,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CERON_RTE_2019.xlsx
128,369,CERON,Concessionária de Distribuição,Reajuste,13/12/2018,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CERON_2018.xlsx
129,369,CERON,Concessionária de Distribuição,Reajuste,30/11/2017,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA _CERON 2017.xlsx
130,369,CERON,Concessionária de Distribuição,Ajuste EER ANGRA III,01/04/2017,Definitivo,
131,369,CERON,Concessionária de Distribuição,Reajuste,30/11/2016,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_Ceron_2016.xlsx
132,369,CERON,Concessionária de Distribuição,Reajuste,30/11/2015,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CERON_2015.xlsx
133,369,CERON,Concessionária de Distribuição,Liminar abrace,03/07/2015,Definitivo,
134,369,CERON,Concessionária de Distribuição,Revisão Extraordinária,02/03/2015,Definitivo,
135,369,CERON,Concessionária de Distribuição,Reajuste,30/11/2014,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CERON_2014.xlsx
136,369,CERON,Concessionária de Distribuição,Revisão,30/11/2013,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA 0 93- CERON.xlsm
137,369,CERON,Concessionária de Distribuição,Revisão Extraordinária,24/01/2013,Definitivo,
138,28,CERR,Concessionária de Distribuição,Reajuste,01/11/2015,Definitivo,
139,28,CERR,Concessionária de Distribuição,Reajuste,01/11/2014,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CERR_2014.xlsx
140,28,CERR,Concessionária de Distribuição,Reajuste,01/11/2013,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CERR_2013.xlsx
141,28,CERR,Concessionária de Distribuição,Revisão Extraordinária,24/01/2013,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA _CERR_2013.xlsx
142,84,CFLO,Concessionária de Distribuição,Reajuste,12/07/2017,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_Caiua_20174.xlsx
143,84,CFLO,Concessionária de Distribuição,Reajuste,12/07/2017,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CNEE_20174.xlsx
144,84,CFLO,Concessionária de Distribuição,Reajuste,12/07/2017,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_EDEVP_20174.xlsx
145,84,CFLO,Concessionária de Distribuição,Reajuste,12/07/2017,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_EEB_20174.xlsx
146,84,CFLO,Concessionária de Distribuição,Reajuste,12/07/2017,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_OESTE_20174.xlsx
147,84,CFLO,Concessionária de Distribuição,Ajuste EER ANGRA III,01/04/2017,Definitivo,
148,84,CFLO,Concessionária de Distribuição,Revisão,29/06/2016,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CFLO_2016.xlsx
149,84,CFLO,Concessionária de Distribuição,Reajuste,29/06/2015,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CFLO_2015.xlsx
150,84,CFLO,Concessionária de Distribuição,Revisão Extraordinária,02/03/2015,Definitivo,
151,84,CFLO,Concessionária de Distribuição,Reajuste,24/06/2014,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_OESTE_2014.xlsx
152,84,CFLO,Concessionária de Distribuição,Reajuste,29/06/2013,Definitivo,
153,84,CFLO,Concessionária de Distribuição,Revisão Extraordinária,24/01/2013,Definitivo,
154,103,CHESP,Concessionária de Distribuição,Revisão,22/11/2021,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA NC Chesp Pos AP 2021 v5.xlsx
155,103,CHESP,Concessionária de Distribuição,Revisão,22/11/2021,Definitivo,
156,103,CHESP,Concessionária de Distribuição,Reajuste,22/11/2020,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA - CHESP 2020 D.xlsx
157,103,CHESP,Concessionária de Distribuição,Reajuste,22/11/2019,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_RTA 2019.xlsx
158,103,CHESP,Concessionária de Distribuição,Reajuste,22/11/2018,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA Novo Contrato_Chesp_2018-7-11-2018.xlsx
159,103,CHESP,Concessionária de Distribuição,Reajuste,22/11/2017,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CHESP_2017.xlsx
160,103,CHESP,Concessionária de Distribuição,Ajuste EER ANGRA III,01/04/2017,Definitivo,
161,103,CHESP,Concessionária de Distribuição,Revisão,22/11/2016,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CHESP_2016.xlsx
162,103,CHESP,Concessionária de Distribuição,Revisão,08/04/2016,Provisório,
163,103,CHESP,Concessionária de Distribuição,Reajuste,12/09/2015,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA _2015_CHESP.xlsx
164,103,CHESP,Concessionária de Distribuição,Revisão Extraordinária,02/03/2015,Definitivo,
165,103,CHESP,Concessionária de Distribuição,Reajuste,12/09/2014,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CHESP_2014.xlsx
166,103,CHESP,Concessionária de Distribuição,Reajuste,05/09/2013,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CHESP_2013.xlsx
167,103,CHESP,Concessionária de Distribuição,Revisão Extraordinária,24/01/2013,Definitivo,
168,75,CNEE,Concessionária de Distribuição,Reajuste,12/07/2017,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_Caiua_20171.xlsx
169,75,CNEE,Concessionária de Distribuição,Reajuste,12/07/2017,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CNEE_20171.xlsx
170,75,CNEE,Concessionária de Distribuição,Reajuste,12/07/2017,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_EDEVP_20171.xlsx
171,75,CNEE,Concessionária de Distribuição,Reajuste,12/07/2017,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_EEB_20171.xlsx
172,75,CNEE,Concessionária de Distribuição,Reajuste,12/07/2017,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_OESTE_20171.xlsx
173,75,CNEE,Concessionária de Distribuição,Ajuste EER ANGRA III,01/04/2017,Definitivo,
174,75,CNEE,Concessionária de Distribuição,Revisão,10/05/2016,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA _CNEE_2016.xlsx
175,75,CNEE,Concessionária de Distribuição,Liminar abrace,03/07/2015,Definitivo,
176,75,CNEE,Concessionária de Distribuição,Reajuste,10/05/2015,Definitivo,https://www2.aneel.gov.br/aplicacoes/tarifa/arquivo/SPARTA_CNEE_c_2015.xlsx
