,CARGO VARIABLE T4R1 (consumo en kWH-Mes  primeros 150),"1,3716 $/kWh"
44,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1714 $/kWh"
45,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
46,Consumo en kWH-Mes primeros 150,
47,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0231 $/kWh"
48,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0231 $/kWh"
49,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0231 $/kWh"
50,Consumo en kWH-Mes siguientes 150,
51,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1050 $/kWh"
52,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1012 $/kWh"
53,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0973 $/kWh"
54,Consumo en kWH-Mes excedente a 300,
55,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1870 $/kWh"
56,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1792 $/kWh"
57,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1714 $/kWh"
58,T - SUMINISTROS EN MEDIA TENSIÓN,
59,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
60,CARGO FIJO,"442,02 $/mes"
61,CARGO POR POTENCIA EN PICO,"84,34 $/kW-mes"
62,CARGO POR POTENCIA FUERA PICO,"36,15 $/kW-mes"
63,GOS VARIABLES,
64,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
65,Consumo en kWH-Mes primeros 150,
66,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0140 $/kWh"
67,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0140 $/kWh"
68,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0140 $/kWh"
69,Consumo en kWH-Mes siguientes 150,
70,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0637 $/kWh"
71,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0613 $/kWh"
72,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0589 $/kWh"
73,Consumo en kWH-Mes excedente a 300,
74,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1133 $/kWh"
75,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1086 $/kWh"
76,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1039 $/kWh"
77,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
78,Consumo en kWH-Mes primeros 150,
79,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0140 $/kWh"
80,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0140 $/kWh"
81,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0140 $/kWh"
82,Consumo en kWH-Mes siguientes 150,
83,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0637 $/kWh"
84,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0613 $/kWh"
85,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0589 $/kWh"
86,Consumo en kWH-Mes excedente a 300,
87,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1133 $/kWh"
88,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1086 $/kWh"
89,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1039 $/kWh"
