,"CARGO POR POTENCIA EN PICO 427,53 $/kW-mes"
31,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 8,773 $/kWh"
32,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 8,7678 $/kWh"
33,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 8,7626 $/kWh"
34,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda
35,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 3,8959 $/kWh"
36,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 3,7451 $/kWh"
37,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 3,5933 $/kWh"
38,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda
39,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 9,0110 $/kWh"
40,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 9,0065 $/kWh"
41,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 9,0008 $/kWh"
42,T - SUMINISTROS EN ALTA TENSIÓN
43,CARGO FIJO $/mes
44,CARGO POR POTENCIA EN PICO $/kW-mes
45,CARGO POR POTENCIA FUERA PICO $/kW-mes
46,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO $/kWh
47,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO $/kWh
48,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE $/kWh
49,QUEÑAS DEMANDAS RURALES (menos de 10 kW de potencia)
50,- PEQUEÑAS DEMANDAS RURALES RESIDENCIALES
51,"CARGO FIJO T4R1 705,98 $/mes"
52,"CARGO VARIABLE T4R1 (consumo en kWH-Mes ≤ 500) 5,1539 $/kWh"
53,"CARGO FIJO T4R2 911,60 $/mes"
54,"CARGO VARIABLE T4R2 ( 500 < consumo en kWH-Mes ≤ 700) 5,4644 $/kWh"
55,"CARGO FIJO T4R3 1.124,96 $/mes"
56,"CARGO VARIABLE T4R3 ( 700 < consumo en kWH-Mes ≤ 1400) 5,7077 $/kWh"
57,"CARGO FIJO T4R4 1.260,74 $/mes"
58,"CARGO VARIABLE T4R4(consumo en kWH-Mes > 1400) 6,2145 $/kWh"
59,R- PEQUEÑAS DEMANDAS RURALES NO RESIDENCIALES
60,"CARGO FIJO T4NR1 705,98 $/mes"
61,"CARGO VARIABLE T4NR1 (consumo en kWH-Mes ≤ 500) 6,0495 $/kWh"
62,"CARGO FIJO T4NR2 911,60 $/mes"
63,"CARGO VARIABLE T4NR2 ( 500 < consumo en kWH-Mes ≤ 700) 6,4014 $/kWh"
64,"CARGO FIJO T4NR3 1.124,96 $/mes"
65,"CARGO VARIABLE T4NR3 ( 700 < consumo en kWH-Mes ≤ 1400) 6,6857 $/kWh"
66,"CARGO FIJO T4NR4 1.260,74 $/mes"
67,"CARGO VARIABLE T4NR4(consumo en kWH-Mes > 1400) 7 ,2653 $/kWh"
68,TABLA DE PERDIDAS DE TRANSFORMACION CLIENTES RURALES
69,5 KVA monofásico 27 kWh/mes
70,10 KVA monofásico 43 kWh/mes
71,15 KVA monofásico 52 kWh/mes
72,16 KVA monofásico 57 kWh/mes
73,10 KVA trifásico 70 kWh/mes
74,15 KVA trifásico 86 kWh/mes
75,16 KVA trifásico 91 kWh/mes
76,20 KVA trifásico 108 kWh/mes
77,25 KVA trifásico 124 kWh/mes
78,30 KVA trifásico 136 kWh/mes
79,40 KVA trifásico 166 kWh/mes
80,50 KVA trifásico 186 kWh/mes
81,63 KVA trifásico 216 kWh/mes
82,100 KVA trifásico 251 kWh/mes
83,RVICIO DE PEAJE( para Distribuidores Municipales)
84,T - SUMINISTROS EN BAJA TENSIÓN
85,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales)
86,"CARGO FIJO 319,83 $/mes"
87,"CARGO POR POTENCIA EN PICO 515,98 $/kW-mes"
88,"CARGO POR POTENCIA FUERA PICO 296,95 $/kW-mes"
89,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales)
90,"CARGO FIJO 254,30 $/mes"
91,"CARGO POR POTENCIA EN PICO 163,02 $/kW-mes"
92,"CARGO POR POTENCIA FUERA PICO 7 4,78 $/kW-mes"
