,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,8067",$/kWh
75,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5065",$/kWh
76,USUARIOS FINALES Suministros Mayor o igual a 300 kW de Demanda,,
77,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,5070",$/kWh
78,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,5068",$/kWh
79,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,5065",$/kWh
80,T - SUMINISTROS EN ALTA TENSIÓN,,
81,CARGO FIJO,"6 78,75",$/mes
82,CARGO POR POTENCIA EN PICO,"10,90",$/kW-mes
83,CARGO POR POTENCIA FUERA PICO,"7,28",$/kW-mes
84,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0 ,0459",$/kWh
85,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0 ,0459",$/kWh
86,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0 ,0459",$/kWh
87,RVICIO DE PEAJE A USUARIOS DE MEDIANAS DEMANDAS,,
88,T - SUMINISTROS EN BAJA TENSIÓN,,
89,CARGO FIJO,"7 00,01",$/mes
90,CARGO POR POTENCIA EN PICO,"1 87,59",$/kW-mes
91,CARGO POR POTENCIA FUERA PICO,"80,40",$/kW-mes
92,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0 ,9233",$/kWh
93,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"0 ,9233",$/kWh
94,T - SUMINISTROS EN MEDIA TENSIÓN,,
95,CARGO FIJO,"1.386,77",$/mes
96,CARGO POR POTENCIA EN PICO,"1 14,80",$/kW-mes
97,CARGO POR POTENCIA FUERA PICO,"49,20",$/kW-mes
