,"CARGO POR POTENCIA EN PICO 361,41 $/kW-mes"
31,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 5,1721 $/kWh"
32,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 4,9674 $/kWh"
33,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 4,7607 $/kWh"
34,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda
35,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 5,1982 $/kWh"
36,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 4,9901 $/kWh"
37,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 4,7825 $/kWh"
38,USUARIOS FINALES Org. Púb.(SALUD/EDUCACIÓN) Suministros Mayor o igual a 300 kW de Demanda
39,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 5,4401 $/kWh"
40,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 5,2372 $/kWh"
41,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 5,0305 $/kWh"
42,T - SUMINISTROS EN ALTA TENSIÓN (Nota *) - Org. Púb.(SALUD/EDUCACIÓN) con Demanda Mayor o igual a 300 kW
43,"CARGO FIJO 2.218,54 $/mes"
44,"CARGO POR POTENCIA EN PICO 54,52 $/kW-mes"
45,"CARGO POR POTENCIA FUERA PICO 40,33 $/kW-mes"
46,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 5,1253 $/kWh"
47,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 4,9286 $/kWh"
48,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 4,7544 $/kWh"
49,QUEÑAS DEMANDAS RURALES (menos de 10 kW de potencia)
50,- PEQUEÑAS DEMANDAS RURALES RESIDENCIALES
51,"CARGO FIJO T4R1 522,09 $/mes"
52,"CARGO VARIABLE T4R1 (consumo en kWH-Mes ≤ 500) 5,3789 $/kWh"
53,"CARGO FIJO T4R2 698,16 $/mes"
54,"CARGO VARIABLE T4R2 ( 500 < consumo en kWH-Mes ≤ 700) 5,5910 $/kWh"
55,"CARGO FIJO T4R3 872,20 $/mes"
56,"CARGO VARIABLE T4R3 ( 700 < consumo en kWH-Mes ≤ 1400) 5,7999 $/kWh"
57,"CARGO FIJO T4R4 997,16 $/mes"
58,"CARGO VARIABLE T4R4(consumo en kWH-Mes > 1400) 6,1037 $/kWh"
59,R- PEQUEÑAS DEMANDAS RURALES NO RESIDENCIALES
60,"CARGO FIJO T4NR1 522,09 $/mes"
61,"CARGO VARIABLE T4NR1 (consumo en kWH-Mes ≤ 500) 6,8190 $/kWh"
62,"CARGO FIJO T4NR2 698,16 $/mes"
63,"CARGO VARIABLE T4NR2 ( 500 < consumo en kWH-Mes ≤ 700) 7,0749 $/kWh"
64,"CARGO FIJO T4NR3 872,20 $/mes"
65,"CARGO VARIABLE T4NR3 ( 700 < consumo en kWH-Mes ≤ 1400) 7,3259 $/kWh"
66,"CARGO FIJO T4NR4 997,16 $/mes"
67,"CARGO VARIABLE T4NR4(consumo en kWH-Mes > 1400) 7,7067 $/kWh"
68,TABLA DE PERDIDAS DE TRANSFORMACION CLIENTES RURALES
69,5 KVA monofásico 27 kWh/mes
70,10 KVA monofásico 43 kWh/mes
71,15 KVA monofásico 52 kWh/mes
72,16 KVA monofásico 57 kWh/mes
73,10 KVA trifásico 70 kWh/mes
74,15 KVA trifásico 86 kWh/mes
75,16 KVA trifásico 91 kWh/mes
76,20 KVA trifásico 108 kWh/mes
77,25 KVA trifásico 124 kWh/mes
78,30 KVA trifásico 136 kWh/mes
79,40 KVA trifásico 166 kWh/mes
80,50 KVA trifásico 186 kWh/mes
81,63 KVA trifásico 216 kWh/mes
82,100 KVA trifásico 251 kWh/mes
83,RVICIO DE PEAJE( para Distribuidores Municipales)
84,T - SUMINISTROS EN BAJA TENSIÓN (Nota *)
85,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales)
86,"CARGO FIJO 274,73 $/mes"
87,"CARGO POR POTENCIA EN PICO 429,17 $/kW-mes"
88,"CARGO POR POTENCIA FUERA PICO 183,93 $/kW-mes"
89,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales)
90,"CARGO FIJO 218,44 $/mes"
91,"CARGO POR POTENCIA EN PICO 136,62 $/kW-mes"
92,"CARGO POR POTENCIA FUERA PICO 58,55 $/kW-mes"
