,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"5,5006 $/kWh"
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"4,9227 $/kWh"
43,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"4,7158 $/kWh"
44,USUARIOS FINALES Org. Púb.(SALUD/EDUCACIÓN) Suministros Mayor o igual a 300 kW de Demanda,
45,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"5,3720 $/kWh"
46,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"5,1690 $/kWh"
47,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"4,9625 $/kWh"
48,T - SUMINISTROS EN ALTA TENSIÓN (Nota *) - Org. Púb.(SALUD/EDUCACIÓN) con Demanda Mayor o igual a 300 kW,
49,CARGO FIJO,$/mes
50,CARGO POR POTENCIA EN PICO,$/kW-me
51,CARGO POR POTENCIA FUERA PICO,$/kW-me
52,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,$/kWh
53,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,$/kWh
54,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,$/kWh
55,QUEÑAS DEMANDAS RURALES (menos de 10 kW de potencia),
56,- PEQUEÑAS DEMANDAS RURALES RESIDENCIALES,
57,CARGO FIJO T4R1,"665,39 $/mes"
58,CARGO VARIABLE T4R1 (consumo en kWH-Mes ≤ 500),"5,6715 $/kWh"
59,CARGO FIJO T4R2,"891,61 $/mes"
60,CARGO VARIABLE T4R2 ( 500 < consumo en kWH-Mes ≤ 700),"5,9392 $/kWh"
61,CARGO FIJO T4R3,"1.126,31 $/mes"
62,CARGO VARIABLE T4R3 ( 700 < consumo en kWH-Mes ≤ 1400),"6,1395 $/kWh"
63,CARGO FIJO T4R4,"1.275,67 $/mes"
64,CARGO VARIABLE T4R4(consumo en kWH-Mes > 1400),"6,5597 $/kWh"
65,R- PEQUEÑAS DEMANDAS RURALES NO RESIDENCIALES,
66,CARGO FIJO T4NR1,"665,39 $/mes"
67,CARGO VARIABLE T4NR1 (consumo en kWH-Mes ≤ 500),"7,1067 $/kWh"
68,CARGO FIJO T4NR2,"891,61 $/mes"
69,CARGO VARIABLE T4NR2 ( 500 < consumo en kWH-Mes ≤ 700),"7,4181 $/kWh"
70,CARGO FIJO T4NR3,"1.126,31 $/mes"
71,CARGO VARIABLE T4NR3 ( 700 < consumo en kWH-Mes ≤ 1400),"7,6605 $/kWh"
72,CARGO FIJO T4NR4,"1.275,67 $/mes"
73,CARGO VARIABLE T4NR4(consumo en kWH-Mes > 1400),"8,1577 $/kWh"
74,TABLA DE PERDIDAS DE TRANSFORMACION CLIENTES RURALES,
75,5 KVA monofásico,27 kWh/mes
76,10 KVA monofásico,43 kWh/mes
77,15 KVA monofásico,52 kWh/mes
78,16 KVA monofásico,57 kWh/mes
79,10 KVA trifásico,70 kWh/mes
80,15 KVA trifásico,86 kWh/mes
81,16 KVA trifásico,91 kWh/mes
82,20 KVA trifásico,108 kWh/mes
83,25 KVA trifásico,124 kWh/mes
84,30 KVA trifásico,136 kWh/mes
85,40 KVA trifásico,166 kWh/mes
86,50 KVA trifásico,186 kWh/mes
87,63 KVA trifásico,216 kWh/mes
88,100 KVA trifásico,251 kWh/mes
