,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"9,1544 $/kWh"
59,CARGO FIJO T4R2,"747,21 $/mes"
60,CARGO VARIABLE T4R2 ( 500 < consumo en kWH-Mes ≤ 700),"12,3838 $/kWh"
61,CARGO FIJO T4R3,"922,10 $/mes"
62,CARGO VARIABLE T4R3 ( 700 < consumo en kWH-Mes ≤ 1400),"12,5833 $/kWh"
63,CARGO FIJO T4R4,"1.033,39 $/mes"
64,CARGO VARIABLE T4R4(consumo en kWH-Mes > 1400),"12,9986 $/kWh"
65,R- PEQUEÑAS DEMANDAS RURALES NO RESIDENCIALES,
66,CARGO FIJO T4NR1,"578,67 $/mes"
67,CARGO VARIABLE T4NR1 (consumo en kWH-Mes ≤ 500),"12,2717 $/kWh"
68,CARGO FIJO T4NR2,"747,21 $/mes"
69,CARGO VARIABLE T4NR2 ( 500 < consumo en kWH-Mes ≤ 700),"12,5603 $/kWh"
70,CARGO FIJO T4NR3,"922,10 $/mes"
71,CARGO VARIABLE T4NR3 ( 700 < consumo en kWH-Mes ≤ 1400),"12,7932 $/kWh"
72,CARGO FIJO T4NR4,"1.033,39 $/mes"
73,CARGO VARIABLE T4NR4(consumo en kWH-Mes > 1400),"13,2684 $/kWh"
74,TABLA DE PERDIDAS DE TRANSFORMACION CLIENTES RURALES,
75,5 KVA monofásico,27 kWh/mes
76,10 KVA monofásico,43 kWh/mes
77,15 KVA monofásico,52 kWh/mes
78,16 KVA monofásico,57 kWh/mes
79,10 KVA trifásico,70 kWh/mes
80,15 KVA trifásico,86 kWh/mes
81,16 KVA trifásico,91 kWh/mes
82,20 KVA trifásico,108 kWh/mes
83,25 KVA trifásico,124 kWh/mes
84,30 KVA trifásico,136 kWh/mes
85,40 KVA trifásico,166 kWh/mes
86,50 KVA trifásico,186 kWh/mes
87,63 KVA trifásico,216 kWh/mes
88,100 KVA trifásico,251 kWh/mes
