,CARGO FIJO R1,"160,11 $/mes"
38,EDIANAS DEMANDAS (de 10 kW a menos de 50 kW de demanda),
39,T -SUMINISTROS EN BAJA TENSIÓN,
40,CARGO FIJO,"1.779,88 $/mes"
41,CARGO POR POTENCIA EN PICO,"425,48 $/kW-mes"
42,CARGO POR POTENCIA FUERA PICO,"317,84 $/kW-mes"
43,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"4,1492 $/kWh"
44,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"4,0282 $/kWh"
45,T - SUMINISTROS EN MEDIA TENSIÓN,
46,CARGO FIJO,"2.696,84 $/mes"
47,CARGO POR POTENCIA EN PICO,"269,87 $/kW-mes"
48,CARGO POR POTENCIA FUERA PICO,"251,18 $/kW-mes"
49,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"4,0562 $/kWh"
50,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"3,9403 $/kWh"
51,RANDES DEMANDAS,
52,T - SUMINISTROS EN BAJA TENSIÓN,
53,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),
54,CARGO FIJO,"1.726,36 $/mes"
55,CARGO POR POTENCIA EN PICO,"606,89 $/kW-mes"
56,CARGO POR POTENCIA FUERA PICO,"395,63 $/kW-mes"
57,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
58,CARGO FIJO,"1.458,61 $/mes"
59,CARGO POR POTENCIA EN PICO,"229,46 $/kW-mes"
60,CARGO POR POTENCIA FUERA PICO,"9 8,34 $/kW-mes"
61,GOS VARIABLES,
62,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
63,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"3,0196 $/kWh"
64,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,8938 $/kWh"
65,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,768 $/kWh"
66,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),
67,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"3,7668 $/kWh"
68,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"3,6122 $/kWh"
69,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"3,4566 $/kWh"
70,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
71,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"3,0196 $/kWh"
72,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,8938 $/kWh"
73,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,768 $/kWh"
74,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),
75,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"3,7668 $/kWh"
76,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"3,6122 $/kWh"
77,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"3,4566 $/kWh"
78,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),
79,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"3,7668 $/kWh"
80,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"3,6122 $/kWh"
81,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"3,4566 $/kWh"
82,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),
83,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"3,7668 $/kWh"
84,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"3,6122 $/kWh"
85,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"3,4566 $/kWh"
86,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),
87,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"8,9923 $/kWh"
88,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"8,987 $/kWh"
89,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"8,9817 $/kWh"
90,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,
91,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"4,0425 $/kWh"
92,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"3,8879 $/kWh"
93,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"3,7323 $/kWh"
94,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,
95,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"9,2827 $/kWh"
96,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"9,2790 $/kWh"
97,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"9,2735 $/kWh"
