,CARGO POR POTENCIA EN PICO,"582,99 $/kW-mes"
77,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,4592 $/kWh"
78,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,4590 $/kWh"
79,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,4588 $/kWh"
80,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,
81,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,4599 $/kWh"
82,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,4596 $/kWh"
83,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,4595 $/kWh"
84,USUARIOS FINALES Suministros Mayor o igual a 300 kW de Demanda,
85,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,4597 $/kWh"
86,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,4594 $/kWh"
87,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,4591 $/kWh"
