,CARGO FIJO,"1.882,77 $/mes"
63,CARGO FIJO T4NR2,"6 98,16 $/mes"
64,CARGO VARIABLE T4NR2 ( 500 < consumo en kWH-Mes ≤ 700),"18,7655 $/kWh"
65,CARGO FIJO T4NR3,"8 72,20 $/mes"
66,CARGO VARIABLE T4NR3 ( 700 < consumo en kWH-Mes ≤ 1400),"19,0165 $/kWh"
67,CARGO FIJO T4NR4,"9 97,16 $/mes"
68,CARGO VARIABLE T4NR4(consumo en kWH-Mes > 1400),"19,3973 $/kWh"
69,TABLA DE PERDIDAS DE TRANSFORMACION CLIENTES RURALES,
70,5 KVA monofásico,27 kWh/mes
71,10 KVA monofásico,43 kWh/mes
72,15 KVA monofásico,52 kWh/mes
73,16 KVA monofásico,57 kWh/mes
74,10 KVA trifásico,70 kWh/mes
75,15 KVA trifásico,86 kWh/mes
76,16 KVA trifásico,91 kWh/mes
77,20 KVA trifásico,108 kWh/mes
78,25 KVA trifásico,124 kWh/mes
79,30 KVA trifásico,136 kWh/mes
80,40 KVA trifásico,166 kWh/mes
81,50 KVA trifásico,186 kWh/mes
82,63 KVA trifásico,216 kWh/mes
83,100 KVA trifásico,251 kWh/mes
84,RVICIO DE PEAJE( para Distribuidores Municipales),
85,T - SUMINISTROS EN BAJA TENSIÓN,
86,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),
87,CARGO FIJO,"2 74,73 $/mes"
88,CARGO POR POTENCIA EN PICO,"4 48,19 $/kW-mes"
89,CARGO POR POTENCIA FUERA PICO,"1 92,08 $/kW-mes"
90,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
91,CARGO FIJO,"2 18,44 $/mes"
92,CARGO POR POTENCIA EN PICO,"1 55,64 $/kW-mes"
93,CARGO POR POTENCIA FUERA PICO,"66,70 $/kW-mes"
