,CARGO POR POTENCIA EN PICO,"282,72 $/kW-mes"
76,20 KVA trifásico,108 kWh/mes
77,25 KVA trifásico,124 kWh/mes
78,30 KVA trifásico,136 kWh/mes
79,40 KVA trifásico,166 kWh/mes
80,50 KVA trifásico,186 kWh/mes
81,63 KVA trifásico,216 kWh/mes
82,100 KVA trifásico,251 kWh/mes
83,RVICIO DE PEAJE( para Distribuidores Municipales),
84,T - SUMINISTROS EN BAJA TENSIÓN,
85,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),
86,CARGO FIJO,"204,72 $/mes"
87,CARGO POR POTENCIA EN PICO,"321,11 $/kW-mes"
88,CARGO POR POTENCIA FUERA PICO,"137,62 $/kW-mes"
89,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
90,CARGO FIJO,"162,77 $/mes"
91,CARGO POR POTENCIA EN PICO,"103,11 $/kW-mes"
92,CARGO POR POTENCIA FUERA PICO,"44,19 $/kW-mes"
