,CARGO VARIABLE R1 ( consumo en kWH-Mes hasta 100),"1,4091",$/kWh
25,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0 ,3737",$/kWh
26,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0 ,3737",$/kWh
27,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0 ,3737",$/kWh
28,Consumo en kWH-Mes siguientes 150,,
29,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2 ,0415",$/kWh
30,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"1 ,9626",$/kWh
31,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"1 ,8832",$/kWh
32,Consumo en kWH-Mes excedente a 300,,
33,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"3 ,7093",$/kWh
34,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"3 ,5515",$/kWh
35,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"3 ,3927",$/kWh
36,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
37,Consumo en kWH-Mes primeros 150,,
38,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3737",$/kWh
39,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3737",$/kWh
40,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3737",$/kWh
41,Consumo en kWH-Mes siguientes 150,,
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,0415",$/kWh
43,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"1,9626",$/kWh
44,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"1,8832",$/kWh
45,Consumo en kWH-Mes excedente a 300,,
46,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"3,7093",$/kWh
47,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"3,5515",$/kWh
48,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"3,3927",$/kWh
49,T - SUMINISTROS EN MEDIA TENSIÓN,,
50,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
51,CARGO FIJO,"2.431,04",$/mes
52,CARGO POR POTENCIA EN PICO,"147,80",$/kW-mes
53,CARGO POR POTENCIA FUERA PICO,"6 3,34",$/kW-mes
54,GOS VARIABLES,,
55,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),,
56,Consumo en kWH-Mes primeros 150,,
57,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3646",$/kWh
58,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3646",$/kWh
59,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3646",$/kWh
60,Consumo en kWH-Mes siguientes 150,,
61,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"1,9917",$/kWh
62,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"1,9147",$/kWh
63,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"1,8373",$/kWh
64,Consumo en kWH-Mes excedente a 300,,
65,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"3,6188",$/kWh
66,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"3,4649",$/kWh
67,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"3,3099",$/kWh
68,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
69,Consumo en kWH-Mes primeros 150,,
70,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3646",$/kWh
71,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3646",$/kWh
72,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3646",$/kWh
73,Consumo en kWH-Mes siguientes 150,,
74,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"1,9917",$/kWh
75,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"1,9147",$/kWh
76,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"1,8373",$/kWh
77,Consumo en kWH-Mes excedente a 300,,
78,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"3,6188",$/kWh
79,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"3,4649",$/kWh
80,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"3,3099",$/kWh
