,CARGO VARIABLE T4R1 (consumo en kWH-Mes  primeros 150),"1,4334 $/kWh"
79,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0140 $/kWh"
80,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0140 $/kWh"
81,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0140 $/kWh"
82,Consumo en kWH-Mes siguientes 150,
83,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0766 $/kWh"
84,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0736 $/kWh"
85,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0707 $/kWh"
86,Consumo en kWH-Mes excedente a 300,
87,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1392 $/kWh"
88,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1333 $/kWh"
89,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1273 $/kWh"
