,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,9686",$/kWh
82,CARGO POR POTENCIA EN PICO,,$/kW-mes
83,CARGO POR POTENCIA FUERA PICO,,$/kW-mes
84,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,,$/kWh
85,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,,$/kWh
86,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,,$/kWh
87,RVICIO DE PEAJE A USUARIOS DE MEDIANAS DEMANDAS,,
88,T - SUMINISTROS EN BAJA TENSIÓN,,
89,CARGO FIJO,"700,01",$/mes
90,CARGO POR POTENCIA EN PICO,"194,12",$/kW-mes
91,CARGO POR POTENCIA FUERA PICO,"83,19",$/kW-mes
92,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"1,0852",$/kWh
93,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"1,0850",$/kWh
94,T - SUMINISTROS EN MEDIA TENSIÓN,,
95,CARGO FIJO,"1.386,77",$/mes
96,CARGO POR POTENCIA EN PICO,"118,35",$/kW-mes
97,CARGO POR POTENCIA FUERA PICO,"50,72",$/kW-mes
98,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,7258",$/kWh
99,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"0,7254",$/kWh
100,DE LA ENERGIA NO SUMINISTRADA,,
101,CENS T1,"195,2990",$/kWh
102,CENS T2 y T3,"692,2678",$/kWh
