,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,2445",Unnamed: 0,$/kWh
25,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,3176",,$/kWh
26,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,,
27,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,3301",,$/kWh
28,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,3162",,$/kWh
29,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,3022",,$/kWh
30,USUARIOS FINALES Org. Púb.(SALUD/EDUCACIÓN) Suministros Mayor o igual a 300 kW de Demanda,,
31,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,3452",,$/kWh
32,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,3315",,$/kWh
33,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,3176",,$/kWh
34,T - SUMINISTROS EN MEDIA TENSIÓN (Nota *),,
35,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales),,
36,"CARGO FIJO 413,95",,$/mes
37,"CARGO POR POTENCIA EN PICO 284,77",,$/kW-
38,"CARGO POR POTENCIA FUERA PICO 122,07",,$/kW-
39,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
40,"CARGO FIJO 330,88",,$/mes
41,"CARGO POR POTENCIA EN PICO 85,11",,$/kW-
42,"CARGO POR POTENCIA FUERA PICO 36,48",,$/kW-
43,GOS VARIABLES,,
44,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),,
45,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,1537",,$/kWh
46,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1471",,$/kWh
47,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1405",,$/kWh
48,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),,
49,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,2075",,$/kWh
50,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1987",,$/kWh
51,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1899",,$/kWh
52,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
53,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,1537",,$/kWh
54,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1471",,$/kWh
55,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1405",,$/kWh
56,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),,
57,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,2075",,$/kWh
58,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1987",,$/kWh
59,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1899",,$/kWh
60,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),,
61,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,2075",,$/kWh
62,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1987",,$/kWh
63,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1899",,$/kWh
64,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),,
65,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,2075",,$/kWh
66,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1987",,$/kWh
67,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1899",,$/kWh
68,DIST. MUNICIPALES ( Usuarios Org. Púb.(SALUD/EDUCACIÓN) Suministros Mayor o igual a 300 kW de Demanda ),,
69,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,2170",,$/kWh
70,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,2083",,$/kWh
71,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1996",,$/kWh
72,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,,
73,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,2075",,$/kWh
74,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1987",,$/kWh
75,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1899",,$/kWh
76,USUARIOS FINALES Org. Púb.(SALUD/EDUCACIÓN) Suministros Mayor o igual a 300 kW de Demanda,,
77,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,2170",,$/kWh
78,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,2083",,$/kWh
79,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1996",,$/kWh
80,T - SUMINISTROS EN ALTA TENSIÓN (Nota *) - Org. Púb.(SALUD/EDUCACIÓN) con Demanda Mayor o igual a 300 kW,,
81,"CARGO FIJO 678,75",,$/mes
82,"CARGO POR POTENCIA EN PICO 8,52",,$/kW-
83,"CARGO POR POTENCIA FUERA PICO 6,26",,$/kW-
84,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,0197",,$/kWh
85,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,0189",,$/kWh
86,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,0181",,$/kWh
87,RVICIO DE PEAJE A USUARIOS DE MEDIANAS DEMANDAS,,
88,T - SUMINISTROS EN BAJA TENSIÓN,,
89,"CARGO FIJO 700,01",,$/mes
