,CARGO VARIABLE R1 ( consumo en kWH-Mes hasta 100),"1,3776",$/kWh
40,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3737",$/kWh
41,Consumo en kWH-Mes siguientes 150,,
42,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"1,6966",$/kWh
43,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"1,6338",$/kWh
44,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"1,5709",$/kWh
45,Consumo en kWH-Mes excedente a 300,,
46,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"3,0196",$/kWh
47,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,8938",$/kWh
48,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,7680",$/kWh
49,T - SUMINISTROS EN MEDIA TENSIÓN,,
50,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),,
51,CARGO FIJO,"1.925,99",$/mes
52,CARGO POR POTENCIA EN PICO,"145,82",$/kW-mes
53,CARGO POR POTENCIA FUERA PICO,"62,50",$/kW-mes
54,GOS VARIABLES,,
55,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),,
56,Consumo en kWH-Mes primeros 150,,
57,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3646",$/kWh
58,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3646",$/kWh
59,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3646",$/kWh
60,Consumo en kWH-Mes siguientes 150,,
61,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"1,6553",$/kWh
62,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"1,5939",$/kWh
63,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"1,5325",$/kWh
64,Consumo en kWH-Mes excedente a 300,,
65,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,9459",$/kWh
66,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,8232",$/kWh
67,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,7005",$/kWh
68,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
69,Consumo en kWH-Mes primeros 150,,
70,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3646",$/kWh
71,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3646",$/kWh
72,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3646",$/kWh
73,Consumo en kWH-Mes siguientes 150,,
74,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"1,6553",$/kWh
75,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"1,5939",$/kWh
76,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"1,5325",$/kWh
77,Consumo en kWH-Mes excedente a 300,,
78,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,9459",$/kWh
79,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,8232",$/kWh
80,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,7005",$/kWh
