,CARGO VARIABLE R1 ( consumo en kWH-Mes hasta 100),"1,3632 $/kWh"
50,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
51,CARGO FIJO,"1.504,00 $/mes"
52,CARGO POR POTENCIA EN PICO,"129,01 $/kW-"
53,CARGO POR POTENCIA FUERA PICO,"55,29 $/kW-"
54,GOS VARIABLES,
55,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
56,Consumo en kWH-Mes primeros 150,
57,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,4076 $/kWh"
58,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,4076 $/kWh"
59,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,4076 $/kWh"
60,Consumo en kWH-Mes siguientes 150,
61,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"1,7034 $/kWh"
62,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"1,6418 $/kWh"
63,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"1,5802 $/kWh"
64,Consumo en kWH-Mes excedente a 300,
65,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,9992 $/kWh"
66,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,8760 $/kWh"
67,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,7528 $/kWh"
68,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
69,Consumo en kWH-Mes primeros 150,
70,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,4076 $/kWh"
71,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,4076 $/kWh"
72,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,4076 $/kWh"
73,Consumo en kWH-Mes siguientes 150,
74,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"1,7034 $/kWh"
75,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"1,6418 $/kWh"
76,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"1,5802 $/kWh"
77,Consumo en kWH-Mes excedente a 300,
78,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"2,9992 $/kWh"
79,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"2,8760 $/kWh"
80,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"2,7528 $/kWh"
81,QUEÑAS DEMANDAS RURALES (menos de 10 kW de potencia),
82,- PEQUEÑAS DEMANDAS RURALES RESIDENCIALES,
83,CARGO FIJO T4R1,"227,20 $/mes"
84,CARGO VARIABLE T4R1 (consumo en kWH-Mes  primeros 150),"1,4950 $/kWh"
85,CARGO FIJO T4R1,"474,62 $/mes"
86,CARGO VARIABLE T4R1 (150 < consumo en kWH-Mes ≤ 300),"3,3202 $/kWh"
87,CARGO FIJO T4R1,"474,62 $/mes"
88,CARGO VARIABLE T4R1 (300 < consumo en kWH-Mes ≤ 500),"4,5914 $/kWh"
89,CARGO FIJO T4R2,"634,69 $/mes"
90,CARGO VARIABLE T4R2 ( 500 < consumo en kWH-Mes ≤ 700),"4,7843 $/kWh"
91,CARGO FIJO T4R3,"792,91 $/mes"
