,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1990",$/kWh
48,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),,
49,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1560",$/kWh
50,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1496",$/kWh
51,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1432",$/kWh
52,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),,
53,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1251",$/kWh
54,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1199",$/kWh
55,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1147",$/kWh
56,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),,
57,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1560",$/kWh
58,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1496",$/kWh
59,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1432",$/kWh
60,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),,
61,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1560",$/kWh
62,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1496",$/kWh
63,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1432",$/kWh
64,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),,
65,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1560",$/kWh
66,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1496",$/kWh
67,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1432",$/kWh
68,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),,
69,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3725",$/kWh
70,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3723",$/kWh
71,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3721",$/kWh
72,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,,
73,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1560",$/kWh
74,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1496",$/kWh
75,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1432",$/kWh
76,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,,
77,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3725",$/kWh
78,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3723",$/kWh
79,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3721",$/kWh
80,T - SUMINISTROS EN ALTA TENSIÓN,,
81,CARGO FIJO,"617,04",$/mes
82,CARGO POR POTENCIA EN PICO,"7,81",$/kW-mes
83,CARGO POR POTENCIA FUERA PICO,"5,72",$/kW-mes
84,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,0337",$/kWh
85,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,0337",$/kWh
86,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,0337",$/kWh
87,RVICIO DE PEAJE A USUARIOS DE MEDIANAS DEMANDAS,,
88,T - SUMINISTROS EN BAJA TENSIÓN,,
89,CARGO FIJO,"636,38",$/mes
90,CARGO POR POTENCIA EN PICO,"159,95",$/kW-mes
91,CARGO POR POTENCIA FUERA PICO,"68,55",$/kW-mes
92,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3543",$/kWh
93,CARGO VARIABLE POR ENERGÍA DEMANDADA FUERA DE PICO,"0,3427",$/kWh
94,T - SUMINISTROS EN MEDIA TENSIÓN,,
95,CARGO FIJO,"1.260,70",$/mes
96,CARGO POR POTENCIA EN PICO,"98,60",$/kW-mes
97,CARGO POR POTENCIA FUERA PICO,"42,26",$/kW-mes
