,"CARGO POR POTENCIA EN PICO 390,62 $/kW-mes"
35,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,2483 $/kWh"
36,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,2381 $/kWh"
37,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,2278 $/kWh"
38,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda
39,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,5927 $/kWh"
40,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,5924 $/kWh"
41,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,5920 $/kWh"
42,T - SUMINISTROS EN MEDIA TENSIÓN
43,SUMINISTROS >= a 50 kW de demanda (Usuarios Finales)
44,"CARGO FIJO 376,32 $/mes"
45,"CARGO POR POTENCIA EN PICO 259,13 $/kW-mes"
46,"CARGO POR POTENCIA FUERA PICO 111,08 $/kW-mes"
47,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales)
48,"CARGO FIJO 300,80 $/mes"
49,"CARGO POR POTENCIA EN PICO 7 7,84 $/kW-mes"
50,"CARGO POR POTENCIA FUERA PICO 3 3,36 $/kW-mes"
51,GOS VARIABLES
52,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.)
53,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,1251 $/kWh"
54,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1199 $/kWh"
55,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1147 $/kWh"
56,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.)
57,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,1560 $/kWh"
58,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1496 $/kWh"
59,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1432 $/kWh"
60,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales)
61,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,1251 $/kWh"
62,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1199 $/kWh"
63,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1147 $/kWh"
64,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res)
65,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,1560 $/kWh"
66,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1496 $/kWh"
67,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1432 $/kWh"
68,DISTRIBUIDORES MUNICIPALES(Alumbrado Público)
69,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,156 $/kWh"
70,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1496 $/kWh"
71,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1432 $/kWh"
72,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda)
73,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,1560 $/kWh"
74,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1496 $/kWh"
75,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1432 $/kWh"
76,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda)
77,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,3725 $/kWh"
78,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,3723 $/kWh"
79,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,3721 $/kWh"
80,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda
81,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,1560 $/kWh"
82,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,1496 $/kWh"
83,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,1432 $/kWh"
84,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda
85,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO 0,3725 $/kWh"
86,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO 0,3723 $/kWh"
87,"CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE 0,3721 $/kWh"
