,CARGO POR POTENCIA EN PICO,"515,98 $/kW-mes"
47,SUMINISTROS >= a 50 kW de demanda (Distribuidores Municipales),
48,CARGO FIJO,"385,21 $/mes"
49,CARGO POR POTENCIA EN PICO,"9 5,67 $/kW-mes"
50,CARGO POR POTENCIA FUERA PICO,"4 1,00 $/kW-mes"
51,GOS VARIABLES,
52,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4R.),
53,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1133 $/kWh"
54,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1086 $/kWh"
55,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1039 $/kWh"
56,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW T4NR.),
57,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1413 $/kWh"
58,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1355 $/kWh"
59,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1297 $/kWh"
60,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.Residenciales),
61,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1133 $/kWh"
62,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1086 $/kWh"
63,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1039 $/kWh"
64,DISTRIBUIDORES MUNICIPALES(Usuarios finales < a 10 kW.No Res),
65,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1413 $/kWh"
66,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1355 $/kWh"
67,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1297 $/kWh"
68,DISTRIBUIDORES MUNICIPALES(Alumbrado Público),
69,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1413 $/kWh"
70,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1355 $/kWh"
71,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1297 $/kWh"
72,DIST. MUNICIPALES (Usuarios finales Suministros entre 10 y 300kW de Demanda),
73,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1413 $/kWh"
74,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1355 $/kWh"
75,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1297 $/kWh"
76,DIST. MUNICIPALES (Usuarios finales Suministros Mayor o igual a 300 kW de Demanda),
77,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3374 $/kWh"
78,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3372 $/kWh"
79,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3370 $/kWh"
80,USUARIOS FINALES Suministros entre 50 y 300kW de Demanda,
81,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,1420 $/kWh"
82,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,1360 $/kWh"
83,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,1304 $/kWh"
84,USUARIOS FINALES Suministros Mayor a 300 kW de Demanda,
85,CARGO VARIABLE POR ENERGÍA DEMANDADA EN PICO,"0,3379 $/kWh"
86,CARGO VARIABLE POR ENERGÍA DEMANDADA EN RESTO,"0,3375 $/kWh"
87,CARGO VARIABLE POR ENERGÍA DEMANDADA EN VALLE,"0,3373 $/kWh"
